word_id,word,up_votes,down_votes,author,definition
9394,KUC,4,7,1c4f9de4,Kick your Cat !!!
18674,kalai,15,28,fe206721,A cat.
21838,Jeph,30,20,76d18e30,One cool cat.
28315,Kupalupadup,9,10,513f0f79,A bitch that fucks Vampire Cats
28762,Meowta,0,0,fe7f06a,A cat-girl's play on MOTA
36414,dookie,66,72,90d474b7,a piece of wet cat shit
40804,phunxion,1,3,a0efa70d,the coolest cat in the cave
48163,fachino,3,2,a6c97ba3,another word for pussy cat
52953,catness,15,13,ef7a662c,being cat like
53435,thai ho,8,32,a6c97ba3,slut cat
65509,sp03,1,1,db7db4b4,sp03:goulies as catnip:cats
68347,Scnigey,7,2,80ba74a4,An extremly dysfunctional cat whisker.
81261,Cat Marr,0,3,19de25da,Smelly Cat
87273,pussy,512,277,84ff02b,another name for a cat
98430,Infusion,2,9,f74be5ea,Copy-cat; self-bragging person;Being an Infusion...
101303,lick,0,6,73ef3bcb,see [Zeek-The-Cat]
101367,baka neko,9,2,a6c97ba3,stupid cat. also a website.
107445,mulva,16,99,45f05da8,an evil cat with no soul.
114376,Gladyator,0,9,caa54396,Male alligator feeding only on cat.
116031,fat cat,13,51,3ca26152,a fat cat
118916,Hercamer,6,7,99a48748,A cat.
119087,kittah,72,48,2b4dd39f,The new way to say cat
119468,Dim Sim,17,85,f90e4dc9,Cat.
125224,mouschi,4,45,bad88da2,"that motherfucking,raped,gay, cat"
131629,StubS,12,12,a6c97ba3,cat with no tail
140249,Rav0r,3,11,119ca07,The biggest and baddest cat around
150064,throgmorten,8,3,4bf6f2de,an evil cat
152292,mahtob,15,23,c538334a,A crazy cat!
153858,shablat,3,1,508eefb8,the sound of a cat explosion
162397,shermanator,28,142,20f64aa9,a very cool cat named valorie
164802,big pussy,105,52,79b7cdbc,A large cat
184834,lemon pie,5,54,4d8df058,why dont you ask my cat
194124,shitbox,39,27,240688e,The cat's litter box
198459,Ry,37,77,a3bc3c24,"Cat Killer, avid radio 4 listener."
199845,Kamineko,21,5,7bd88d17,"Literally, 'biting cat.'"
202799,Arigato,61,180,c54a1207,Spanglish for 'hairy cat'
218785,stoopidcat,1,7,8e5fc04a,blue cat floating over a frisbee
219134,checkerhead,20,11,eb2acfe0,a tortoiseshell colored kitty cat
221428,Evil Canadian,17,20,f1718841,A really cool cat
222076,Gelloko Cats,6,1,ce3c770,Snooping Cats
223603,mow the lawn,38,69,a6c97ba3,yam the cat
232230,spliffed,4,32,9778ab50,a cat in manchester england
232751,idali,11,7,a6c97ba3,tube-cat!
237446,Cat Melojin,2,2,33109579,also see 'cat'; 'shitemelodeon'.
244812,meow,33,34,1f4407d1,the sound my cat makes
245351,bardesly,4,4,ea5fd6ef,"cat rapists, to rape a cat"
252075,moggee,2,2,3848d7ec,the name of alyce's three-legged cat
255672,Gert,21,48,809a5e6e,a cat's anus
255677,Doida,7,5,809a5e6e,a cat's anus
257955,Gato,141,35,a3027a4b,Cat in spanish...
263981,socks,50,43,68931fb4,proper noun: Former president Clinton's Cat.
265818,Sebbie,40,15,79b2b9b1,A very cool cat.
272518,cat sucker,7,10,f9400ca3,An ugly ho that sucks cats.
285698,spht,1,2,77059c96,See [word]Cat[/word].
300705,kipher,2,7,1752740,my cousins cat
304261,pussy-wussums,8,5,1b9a8e98,bizarre calling to a cat!!
310989,chibi neko,14,3,54fa0460,A small cat
314839,wet pussy,2345,1408,bb99ae0b,A cat soaked in water.
315408,Pussy Goblin,62,66,a6c97ba3,One who craps on cats.
315552,Sweetnic,8,2,a2401486,A cat or a kitten
318161,tuli,14,70,b9fb0ce1,it is a cat
325595,eixip,2,0,4b6137c6,my cats name backwards
330457,lil key key,17,8,5bb17ab5,[Bam Margera]'s cat (now deseaced).
348272,mittens,29,60,b529c7c8,My parent's gay cat
352882,Kard,4,9,741e11d8,a cats asshole
358278,eboo,6,20,987ebfa,The name I call my cat
361089,catpants,44,15,92448733,Pants wherein are residing cats
362243,Choo-Choo,6,13,df92368f,"A boneless, furless, amorphus cat."
367170,puma,29,38,693a53b3,"a big cat, like a lion"
380031,Marana,2,24,93ec3ce4,See Cat town
382387,skippy,5,18,e562c46f,A common house cat
383397,Kliban Cat,14,5,70eb2e51,A cat drawn by B. Kliban.
398916,lil key key,15,7,d5e6923,bam margera's cat
404276,Azrael,62,19,e62aaac6,Gargamel's cat on [Smurfs]
406472,shitcockmotherfucker,23,17,a4f3b605,The name of my cat!
412283,Sumi,20,57,b962933c,My cat <shrugs>
412711,buffum,9,3,6fced296,Greek goddess of the cats.
447771,neko,226,101,bf716db7,Japanese for cat. Simple as that.
449331,liverlips,7,27,1113c917,a fussy cat.
469597,Kilcher,22,8,924be14e,A feisty black cat
491053,nantucket sleigh ride,12,84,4bac804d,sex with [cat meat]
527391,CSC,6,42,d2698e32,see: [Cat-String Complex]
557260,persian,124,122,65cade81,Has to do with cats. Lions.
562239,Coyneee,4,19,c834d31b,To be a cat.
567921,motor,12,23,35232e17,a cat's purr
587217,Catplug,2,6,88db2782,A cat's rectal area
591136,kinfolk hank,5,3,b1ba36e1,Throwed cat! Boy go hard!
592664,CU8M,7,9,9537a861,Cat Unit 8 Mobile
605099,WoFat,1,5,249a58e2,"a fat, dumb cat"
605104,wofat,2,5,249a58e2,a super fat cat
616475,lumphead,5,12,9d07b49d,"a cat, feline"
634125,Gatto,25,9,8ec55bec,<Italian> Gatto ;; <English> Cat
639173,stuv,4,6,405ab0cf,any reference to a cat.
652279,twilight,70,135,3f3a56b5,Morley's cat.
654319,Sparkey,8,18,17aa9f7a,Good name for a cat.
676684,loki,65,65,3c9aa581,my cat! also a norse god
